"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"Datsun 710",22.8,4,0.02900200101228,93,3.85,2.32,18.61,1,"manual",4,1
"Merc 240D",24.4,4,0.039394384708347,62,3.69,3.19,20,1,"auto",4,2
"Merc 230",22.8,4,0.037810016134528,95,3.92,3.15,22.9,1,"auto",4,2
"Fiat 128",32.4,4,0.021133865552467,66,4.08,2.2,19.47,1,"manual",4,1
"Honda Civic",30.4,4,0.020328254413237,52,4.93,1.615,18.52,1,"manual",4,2
"Toyota Corolla",33.9,4,0.019092983999751,65,4.22,1.835,19.9,1,"manual",4,1
"Toyota Corona",21.5,4,0.032251299273841,97,3.7,2.465,20.01,1,"auto",3,1
"Fiat X1-9",27.3,4,0.02121442666639,66,4.08,1.935,18.9,1,"manual",4,1
"Porsche 914-2",26,4,0.032305006683123,91,4.43,2.14,16.7,0,"manual",5,2
"Lotus Europa",30.4,4,0.025537873113591,113,3.77,1.513,16.9,1,"manual",5,2
"Volvo 142E",21.4,4,0.03249298261561,109,4.11,2.78,18.6,1,"manual",4,2
